"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL142020,2020-08-20T15:00:00.000Z,Tropical Depression,Fourteen,15.1,-79.7,35,1007,21,280,,
AL142020,2020-08-20T21:00:00.000Z,Tropical Depression,Fourteen,14.3,-81,35,1007,18,270,,
AL142020,2020-08-21T03:00:00.000Z,Tropical Depression,Fourteen,14.9,-82.2,35,1007,14,285,,
AL142020,2020-08-21T09:00:00.000Z,Tropical Depression,Fourteen,15.4,-83.1,35,1007,12,290,,
AL142020,2020-08-21T15:00:00.000Z,Tropical Depression,Fourteen,16.6,-84.1,35,1008,14,305,,
AL142020,2020-08-21T21:00:00.000Z,Tropical Depression,Fourteen,17.7,-84.3,35,1008,13,325,,
AL142020,2020-08-22T03:00:00.000Z,Tropical Storm,Marco,18.7,-84.9,40,1003,13,330,,
AL142020,2020-08-22T09:00:00.000Z,Tropical Storm,Marco,19.6,-85.4,45,1005,12,335,,
AL142020,2020-08-22T15:00:00.000Z,Tropical Storm,Marco,20.9,-85.3,65,992,12,340,,
AL142020,2020-08-22T21:00:00.000Z,Tropical Storm,Marco,21.9,-85.7,65,992,13,340,,
AL142020,2020-08-23T03:00:00.000Z,Tropical Storm,Marco,22.8,-86.3,65,994,13,335,,
AL142020,2020-08-23T09:00:00.000Z,Tropical Storm,Marco,23.7,-87,70,994,13,335,,
AL142020,2020-08-23T15:00:00.000Z,Tropical Storm,Marco,24.7,-87.3,70,993,14,340,,
AL142020,2020-08-23T21:00:00.000Z,Hurricane,Marco,25.8,-87.8,75,991,13,340,15,105
AL142020,2020-08-24T03:00:00.000Z,Tropical Storm,Marco,26.8,-87.6,70,1000,12,345,,
AL142020,2020-08-24T09:00:00.000Z,Tropical Storm,Marco,27.6,-88.2,60,1003,10,325,,
AL142020,2020-08-24T15:00:00.000Z,Tropical Storm,Marco,28.5,-88.5,50,1006,8,330,,
AL142020,2020-08-24T18:00:00.000Z,Tropical Storm,Marco,28.7,-88.6,40,1008,6,320,,
AL142020,2020-08-24T21:00:00.000Z,Tropical Storm,Marco,29,-88.9,40,1008,7,320,,
AL142020,2020-08-25T03:00:00.000Z,Tropical Depression,Marco,29,-89.8,35,1007,9,270,,
AL142020,2020-08-25T09:00:00.000Z,Post-tropical Cyclone,Marco,28.8,-91.2,30,1008,10,270,,
