"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL182024,2024-11-03T21:00:00.000Z,Potential Tropical Cyclone,Eighteen,13,-77.1,35,1004,7,45,,
AL182024,2024-11-04T00:00:00.000Z,Potential Tropical Cyclone,Eighteen,13,-76.9,35,1004,7,360,,
AL182024,2024-11-04T03:00:00.000Z,Potential Tropical Cyclone,Eighteen,13.3,-76.9,35,1004,6,360,,
AL182024,2024-11-04T06:00:00.000Z,Potential Tropical Cyclone,Eighteen,14,-76.9,35,1004,6,360,,
AL182024,2024-11-04T09:00:00.000Z,Potential Tropical Cyclone,Eighteen,14.2,-76.9,35,1004,7,360,,
AL182024,2024-11-04T12:00:00.000Z,Potential Tropical Cyclone,Eighteen,14.8,-76.8,35,1003,7,360,,
AL182024,2024-11-04T12:05:00.000Z,Potential Tropical Cyclone,Eighteen,14.8,-76.8,35,1003,7,360,,
AL182024,2024-11-04T15:00:00.000Z,Tropical Depression,Eighteen,15.2,-76.9,35,1003,9,10,,
AL182024,2024-11-04T18:00:00.000Z,Tropical Depression,Eighteen,15.1,-76.4,35,1000,9,10,,
AL182024,2024-11-04T21:00:00.000Z,Tropical Storm,Rafael,15.5,-76.7,45,997,9,10,,
AL182024,2024-11-05T00:00:00.000Z,Tropical Storm,Rafael,15.8,-76.9,45,1000,9,345,,
AL182024,2024-11-05T03:00:00.000Z,Tropical Storm,Rafael,16.3,-77.2,45,996,12,335,,
AL182024,2024-11-05T06:00:00.000Z,Tropical Storm,Rafael,16.7,-77.6,45,996,12,330,,
AL182024,2024-11-05T09:00:00.000Z,Tropical Storm,Rafael,17,-78,60,993,13,325,,
AL182024,2024-11-05T12:00:00.000Z,Tropical Storm,Rafael,17.4,-78.4,60,993,13,325,,
AL182024,2024-11-05T15:00:00.000Z,Tropical Storm,Rafael,17.8,-78.6,60,994,13,320,,
AL182024,2024-11-05T18:00:00.000Z,Tropical Storm,Rafael,18.6,-79.1,60,994,14,320,,
AL182024,2024-11-05T21:00:00.000Z,Tropical Storm,Rafael,19.1,-79.6,70,989,15,325,,
AL182024,2024-11-06T00:00:00.000Z,Tropical Storm,Rafael,19.3,-79.9,70,987,15,325,,
AL182024,2024-11-06T00:20:00.000Z,Hurricane,Rafael,19.4,-79.9,75,986,15,325,,
AL182024,2024-11-06T03:00:00.000Z,Hurricane,Rafael,19.7,-80.4,80,985,13,320,15,115
AL182024,2024-11-06T06:00:00.000Z,Hurricane,Rafael,20.2,-80.9,85,977,13,320,15,105
AL182024,2024-11-06T09:00:00.000Z,Hurricane,Rafael,20.6,-81.3,90,970,14,315,15,105
AL182024,2024-11-06T12:00:00.000Z,Hurricane,Rafael,21,-81.6,100,964,14,315,15,105
AL182024,2024-11-06T15:00:00.000Z,Hurricane,Rafael,21.4,-81.9,110,960,14,320,15,115
AL182024,2024-11-06T18:00:00.000Z,Hurricane,Rafael,22,-82.3,115,956,14,320,15,115
AL182024,2024-11-06T19:00:00.000Z,Hurricane,Rafael,22.2,-82.4,115,956,14,320,,
AL182024,2024-11-06T20:00:00.000Z,Hurricane,Rafael,22.4,-82.6,115,956,14,320,,
AL182024,2024-11-06T21:00:00.000Z,Hurricane,Rafael,22.6,-82.7,115,956,13,320,30,115
AL182024,2024-11-06T21:15:00.000Z,Hurricane,Rafael,22.7,-82.7,115,956,14,320,,
AL182024,2024-11-06T22:00:00.000Z,Hurricane,Rafael,22.8,-82.8,110,958,14,320,,
AL182024,2024-11-06T23:00:00.000Z,Hurricane,Rafael,23,-83,105,962,14,320,,
AL182024,2024-11-07T00:00:00.000Z,Hurricane,Rafael,23.2,-83.2,105,966,13,320,30,115
AL182024,2024-11-07T01:00:00.000Z,Hurricane,Rafael,23.3,-83.3,105,968,14,320,,
AL182024,2024-11-07T02:00:00.000Z,Hurricane,Rafael,23.4,-83.5,105,968,14,320,,
