"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL062023,2023-08-19T21:00:00.000Z,Tropical Depression,Six,16.7,-50.2,35,1006,16,290,,
AL062023,2023-08-20T03:00:00.000Z,Tropical Depression,Six,17.2,-51.5,35,1006,14,280,,
AL062023,2023-08-20T09:00:00.000Z,Tropical Depression,Six,16.8,-52.9,35,1007,15,270,,
AL062023,2023-08-20T15:00:00.000Z,Tropical Depression,Six,16.8,-53.7,35,1008,12,280,,
AL062023,2023-08-20T21:00:00.000Z,Tropical Depression,Six,16.6,-54.7,35,1008,9,285,,
AL062023,2023-08-21T03:00:00.000Z,Tropical Depression,Six,16.7,-55.7,35,1008,9,285,,
AL062023,2023-08-21T04:00:00.000Z,Tropical Storm,Gert,16.7,-55.9,40,1006,9,285,,
AL062023,2023-08-21T09:00:00.000Z,Tropical Storm,Gert,16.7,-56.4,40,1006,9,280,,
AL062023,2023-08-21T15:00:00.000Z,Tropical Storm,Gert,16.9,-57,40,1006,8,280,,
AL062023,2023-08-21T21:00:00.000Z,Tropical Depression,Gert,17.1,-57.5,30,1008,7,290,,
AL062023,2023-08-22T03:00:00.000Z,Tropical Depression,Gert,17.1,-58.4,30,1008,9,285,,
AL062023,2023-08-22T09:00:00.000Z,Tropical Depression,Gert,17.2,-58.8,30,1008,8,285,,
