"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL052025,2025-08-11T15:00:00.000Z,Tropical Storm,Erin,17.4,-28,45,1004,20,275,,
AL052025,2025-08-11T21:00:00.000Z,Tropical Storm,Erin,17.4,-30.3,45,1004,21,270,,
AL052025,2025-08-12T03:00:00.000Z,Tropical Storm,Erin,17.6,-32.3,45,1004,22,275,,
AL052025,2025-08-12T09:00:00.000Z,Tropical Storm,Erin,17.4,-34.3,45,1004,22,265,,
AL052025,2025-08-12T15:00:00.000Z,Tropical Storm,Erin,17.2,-36.3,45,1006,23,265,,
AL052025,2025-08-12T21:00:00.000Z,Tropical Storm,Erin,17,-38.3,45,1006,22,265,,
AL052025,2025-08-13T03:00:00.000Z,Tropical Storm,Erin,16.7,-40.1,45,1004,20,260,,
AL052025,2025-08-13T09:00:00.000Z,Tropical Storm,Erin,16.5,-41.9,45,1004,20,260,,
AL052025,2025-08-13T15:00:00.000Z,Tropical Storm,Erin,16.3,-43.4,45,1004,17,265,,
AL052025,2025-08-13T21:00:00.000Z,Tropical Storm,Erin,16.3,-45,50,1001,17,270,,
AL052025,2025-08-14T03:00:00.000Z,Tropical Storm,Erin,16.3,-46.6,50,1002,16,270,,
AL052025,2025-08-14T09:00:00.000Z,Tropical Storm,Erin,16.3,-48.2,50,1002,17,270,,
AL052025,2025-08-14T15:00:00.000Z,Tropical Storm,Erin,16.4,-49.7,60,999,17,275,,
AL052025,2025-08-14T21:00:00.000Z,Tropical Storm,Erin,16.7,-51.2,60,998,17,280,,
AL052025,2025-08-15T03:00:00.000Z,Tropical Storm,Erin,17.1,-52.7,70,998,17,285,,
AL052025,2025-08-15T09:00:00.000Z,Tropical Storm,Erin,17.8,-54.4,70,997,17,285,,
AL052025,2025-08-15T15:00:00.000Z,Hurricane,Erin,18.2,-56.1,75,996,18,290,25,115
AL052025,2025-08-15T21:00:00.000Z,Hurricane,Erin,18.9,-57.6,75,993,17,290,25,115
AL052025,2025-08-16T03:00:00.000Z,Hurricane,Erin,19.5,-59.5,100,979,17,290,30,125
AL052025,2025-08-16T09:00:00.000Z,Hurricane,Erin,19.8,-61.1,120,955,20,285,30,125
AL052025,2025-08-16T15:00:00.000Z,Hurricane,Erin,19.7,-62.8,155,923,17,280,30,140
AL052025,2025-08-16T21:00:00.000Z,Hurricane,Erin,20,-64,160,915,15,280,30,160
AL052025,2025-08-17T03:00:00.000Z,Hurricane,Erin,20.3,-65.1,140,937,14,290,25,205
AL052025,2025-08-17T09:00:00.000Z,Hurricane,Erin,20.6,-66.4,125,940,14,285,,
AL052025,2025-08-17T15:00:00.000Z,Hurricane,Erin,21,-67.4,125,946,13,285,25,205
AL052025,2025-08-17T21:00:00.000Z,Hurricane,Erin,21.7,-68.5,125,946,13,295,50,205
AL052025,2025-08-18T03:00:00.000Z,Hurricane,Erin,22.3,-69.3,130,942,12,305,60,230
AL052025,2025-08-18T09:00:00.000Z,Hurricane,Erin,22.8,-70.2,130,945,13,305,,
AL052025,2025-08-18T15:00:00.000Z,Hurricane,Erin,23.1,-70.8,140,935,10,300,80,230
AL052025,2025-08-18T21:00:00.000Z,Hurricane,Erin,24,-71.3,140,937,10,310,,
AL052025,2025-08-19T03:00:00.000Z,Hurricane,Erin,24.4,-71.7,125,949,8,320,80,230
AL052025,2025-08-19T09:00:00.000Z,Hurricane,Erin,24.8,-72,115,955,7,325,80,205
AL052025,2025-08-19T15:00:00.000Z,Hurricane,Erin,25.6,-72.4,105,961,9,325,,
AL052025,2025-08-19T21:00:00.000Z,Hurricane,Erin,26.6,-72.7,105,958,10,330,,
AL052025,2025-08-20T03:00:00.000Z,Hurricane,Erin,27.7,-73,100,959,12,340,,
AL052025,2025-08-20T09:00:00.000Z,Hurricane,Erin,28.9,-73.3,100,954,13,345,,
AL052025,2025-08-20T15:00:00.000Z,Hurricane,Erin,30.1,-73.7,110,941,13,360,,
AL052025,2025-08-20T21:00:00.000Z,Hurricane,Erin,31.2,-73.6,110,943,14,360,,
AL052025,2025-08-21T03:00:00.000Z,Hurricane,Erin,32.8,-73.1,110,942,16,10,,
AL052025,2025-08-21T09:00:00.000Z,Hurricane,Erin,34.2,-72.1,105,945,17,20,,
AL052025,2025-08-21T15:00:00.000Z,Hurricane,Erin,35.4,-70.9,100,952,18,25,,
AL052025,2025-08-21T21:00:00.000Z,Hurricane,Erin,36.4,-69.1,100,952,20,50,,
AL052025,2025-08-22T03:00:00.000Z,Hurricane,Erin,37.3,-67,100,952,22,60,,
AL052025,2025-08-22T09:00:00.000Z,Hurricane,Erin,38.6,-65.3,90,956,22,55,,
AL052025,2025-08-22T15:00:00.000Z,Hurricane,Erin,38.8,-63.1,90,956,28,65,,
