"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL292020,2020-10-31T21:00:00.000Z,Tropical Depression,Twenty,15,-73.2,35,1006,15,270,,
AL292020,2020-11-01T03:00:00.000Z,Tropical Storm,Eta,15,-74.2,40,1005,15,275,,
AL292020,2020-11-01T09:00:00.000Z,Tropical Storm,Eta,15.2,-75.7,40,1005,15,275,,
AL292020,2020-11-01T15:00:00.000Z,Tropical Storm,Eta,14.8,-77.2,40,1005,15,270,,
AL292020,2020-11-01T21:00:00.000Z,Tropical Storm,Eta,14.9,-78.9,65,992,15,270,,
AL292020,2020-11-02T03:00:00.000Z,Tropical Storm,Eta,14.9,-80,70,989,13,270,,
AL292020,2020-11-02T09:00:00.000Z,Hurricane,Eta,14.8,-80.9,75,987,12,265,25,125
AL292020,2020-11-02T15:00:00.000Z,Hurricane,Eta,14.8,-81.5,110,962,9,265,25,115
AL292020,2020-11-02T21:00:00.000Z,Hurricane,Eta,14.5,-82.3,130,948,9,255,25,125
AL292020,2020-11-03T03:00:00.000Z,Hurricane,Eta,14.1,-82.7,150,927,7,245,25,125
AL292020,2020-11-03T09:00:00.000Z,Hurricane,Eta,13.8,-83.1,150,923,5,250,25,125
AL292020,2020-11-03T15:00:00.000Z,Hurricane,Eta,13.6,-83.2,145,938,5,255,25,115
AL292020,2020-11-03T21:00:00.000Z,Hurricane,Eta,13.8,-83.5,140,940,5,270,25,115
AL292020,2020-11-04T03:00:00.000Z,Hurricane,Eta,13.8,-84,105,970,6,270,25,115
AL292020,2020-11-04T09:00:00.000Z,Tropical Storm,Eta,13.8,-84.7,70,990,8,270,,
AL292020,2020-11-04T15:00:00.000Z,Tropical Storm,Eta,13.9,-85.2,50,996,7,275,,
AL292020,2020-11-04T21:00:00.000Z,Tropical Storm,Eta,13.9,-85.7,40,999,7,275,,
AL292020,2020-11-05T03:00:00.000Z,Tropical Depression,Eta,14.2,-86.3,35,1003,7,285,,
AL292020,2020-11-05T09:00:00.000Z,Tropical Depression,Eta,14.5,-87,30,1006,8,300,,
AL292020,2020-11-05T15:00:00.000Z,Tropical Depression,Eta,15.1,-87.8,30,1005,9,305,,
AL292020,2020-11-05T21:00:00.000Z,Tropical Depression,Eta,15.7,-87.7,35,1005,8,330,,
AL292020,2020-11-06T03:00:00.000Z,Tropical Depression,Eta,16.6,-87.8,35,1004,8,360,,
AL292020,2020-11-06T09:00:00.000Z,Tropical Depression,Eta,17.3,-87.4,35,1004,8,10,,
AL292020,2020-11-06T15:00:00.000Z,Tropical Depression,Eta,17.8,-87,35,1004,7,25,,
AL292020,2020-11-06T21:00:00.000Z,Tropical Depression,Eta,17.3,-86.5,35,1002,7,40,,
AL292020,2020-11-07T03:00:00.000Z,Tropical Depression,Eta,18,-85.2,35,1002,12,55,,
AL292020,2020-11-07T09:00:00.000Z,Tropical Depression,Eta,18.3,-84.9,35,1002,10,60,,
AL292020,2020-11-07T15:00:00.000Z,Tropical Storm,Eta,19.6,-81.8,40,998,17,55,,
AL292020,2020-11-07T18:00:00.000Z,Tropical Storm,Eta,20,-81.1,60,994,17,55,,
AL292020,2020-11-07T21:00:00.000Z,Tropical Storm,Eta,20.4,-80.7,60,994,16,50,,
AL292020,2020-11-08T03:00:00.000Z,Tropical Storm,Eta,20.7,-79.9,65,991,13,45,,
AL292020,2020-11-08T09:00:00.000Z,Tropical Storm,Eta,21.5,-79.3,65,991,12,35,,
AL292020,2020-11-08T15:00:00.000Z,Tropical Storm,Eta,22.5,-79.2,65,993,14,350,,
AL292020,2020-11-08T21:00:00.000Z,Tropical Storm,Eta,23.9,-79.5,65,993,14,325,,
AL292020,2020-11-09T03:00:00.000Z,Tropical Storm,Eta,24.6,-80.5,65,993,14,305,,
AL292020,2020-11-09T09:00:00.000Z,Tropical Storm,Eta,25.2,-82,65,992,13,285,,
AL292020,2020-11-09T15:00:00.000Z,Tropical Storm,Eta,24.6,-83.4,60,994,14,235,,
AL292020,2020-11-09T21:00:00.000Z,Tropical Storm,Eta,23.7,-84.8,50,995,16,230,,
AL292020,2020-11-10T03:00:00.000Z,Tropical Storm,Eta,23.2,-85.2,50,995,9,225,,
AL292020,2020-11-10T09:00:00.000Z,Tropical Storm,Eta,22.9,-85.5,50,995,NaN,0,,
AL292020,2020-11-10T15:00:00.000Z,Tropical Storm,Eta,22.7,-85.3,60,992,NaN,0,,
AL292020,2020-11-10T21:00:00.000Z,Tropical Storm,Eta,23.2,-85.1,60,992,7,360,,
AL292020,2020-11-11T03:00:00.000Z,Tropical Storm,Eta,23.8,-84.5,65,992,9,15,,
AL292020,2020-11-11T09:00:00.000Z,Tropical Storm,Eta,25,-84.1,70,988,12,10,,
AL292020,2020-11-11T15:00:00.000Z,Hurricane,Eta,26.2,-83.7,75,983,10,15,,
AL292020,2020-11-11T21:00:00.000Z,Tropical Storm,Eta,27.3,-83.6,70,990,12,10,,
AL292020,2020-11-12T03:00:00.000Z,Tropical Storm,Eta,28.3,-83.4,65,993,12,10,,
AL292020,2020-11-12T09:00:00.000Z,Tropical Storm,Eta,29.1,-83,50,995,13,40,,
AL292020,2020-11-12T15:00:00.000Z,Tropical Storm,Eta,30.2,-81.8,45,1003,15,30,,
AL292020,2020-11-12T21:00:00.000Z,Tropical Storm,Eta,31.6,-80.6,40,1004,18,35,,
AL292020,2020-11-13T03:00:00.000Z,Tropical Storm,Eta,32.3,-79,45,1004,17,45,,
AL292020,2020-11-13T09:00:00.000Z,Post-tropical Cyclone,Eta,33.3,-76.8,45,1004,21,60,,
