"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL022012,2012-05-26T03:00:00.000Z,Tropical Storm,Beryl,32.5,-74.8,45,1001,9,10,,
AL022012,2012-05-26T09:00:00.000Z,Tropical Storm,Beryl,32.3,-75.6,45,1001,5,255,,
AL022012,2012-05-26T15:00:00.000Z,Tropical Storm,Beryl,31.6,-76.3,45,1001,9,230,,
AL022012,2012-05-26T21:00:00.000Z,Tropical Storm,Beryl,31.5,-76.6,45,999,6,225,,
AL022012,2012-05-27T03:00:00.000Z,Tropical Storm,Beryl,30.8,-77.2,50,998,7,230,,
AL022012,2012-05-27T09:00:00.000Z,Tropical Storm,Beryl,30.5,-78.8,50,998,10,255,,
AL022012,2012-05-27T15:00:00.000Z,Tropical Storm,Beryl,30.1,-79.6,60,998,10,260,,
AL022012,2012-05-27T21:00:00.000Z,Tropical Storm,Beryl,30,-80.3,65,996,10,265,,
AL022012,2012-05-28T03:00:00.000Z,Tropical Storm,Beryl,30.2,-81.1,70,993,7,270,,
AL022012,2012-05-28T09:00:00.000Z,Tropical Storm,Beryl,30.3,-82,50,997,8,280,,
AL022012,2012-05-28T15:00:00.000Z,Tropical Depression,Beryl,30.5,-82.7,35,1000,6,300,,
AL022012,2012-05-28T21:00:00.000Z,Tropical Depression,Beryl,30.8,-83.1,30,1003,5,335,,
AL022012,2012-05-29T03:00:00.000Z,Tropical Depression,Beryl,30.8,-83.4,30,1005,5,320,,
AL022012,2012-05-29T09:00:00.000Z,Tropical Depression,Beryl,30.9,-83.4,30,1005,2,360,,
AL022012,2012-05-29T15:00:00.000Z,Tropical Depression,Beryl,31.5,-82.9,30,1005,5,50,,
AL022012,2012-05-29T21:00:00.000Z,Tropical Depression,Beryl,31.8,-82.5,30,1005,8,55,,
AL022012,2012-05-30T03:00:00.000Z,Tropical Depression,Beryl,32.2,-81.3,30,1004,10,65,,
AL022012,2012-05-30T09:00:00.000Z,Tropical Depression,Beryl,33.1,-79.8,35,1001,14,60,,
AL022012,2012-05-30T15:00:00.000Z,Tropical Depression,Beryl,34.2,-78,35,1000,20,55,,
AL022012,2012-05-30T21:00:00.000Z,Post-tropical Cyclone,Beryl,34.9,-76.1,40,998,21,60,,
