"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL042024,2024-08-02T15:00:00.000Z,Potential Tropical Cyclone,Four,20.9,-76.6,30,1012,16,290,,
AL042024,2024-08-02T18:00:00.000Z,Potential Tropical Cyclone,Four,21.1,-77.5,30,1012,16,290,,
AL042024,2024-08-02T21:00:00.000Z,Potential Tropical Cyclone,Four,21.4,-78.3,30,1012,16,290,,
AL042024,2024-08-03T00:00:00.000Z,Potential Tropical Cyclone,Four,21.4,-78.9,30,1010,16,290,,
AL042024,2024-08-03T03:00:00.000Z,Tropical Depression,Four,21.4,-79.7,30,1010,17,285,,
AL042024,2024-08-03T06:00:00.000Z,Tropical Depression,Four,21.6,-80.1,30,1010,17,285,,
AL042024,2024-08-03T09:00:00.000Z,Tropical Depression,Four,22,-80.7,30,1009,16,285,,
AL042024,2024-08-03T12:00:00.000Z,Tropical Depression,Four,22.2,-81.5,30,1009,16,285,,
AL042024,2024-08-03T15:00:00.000Z,Tropical Depression,Four,22.8,-82,35,1009,15,300,,
AL042024,2024-08-03T18:00:00.000Z,Tropical Depression,Four,23.1,-82.6,35,1009,15,300,,
AL042024,2024-08-03T21:00:00.000Z,Tropical Storm,Debby,23.9,-83.2,40,1007,15,310,,
AL042024,2024-08-04T00:00:00.000Z,Tropical Storm,Debby,24.1,-83.3,40,1005,14,315,,
AL042024,2024-08-04T03:00:00.000Z,Tropical Storm,Debby,24.4,-83.6,45,1003,14,320,,
