"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL122013,2013-10-03T13:00:00.000Z,Tropical Storm,Karen,22,-87.6,60,1004,13,340,,
AL122013,2013-10-03T15:00:00.000Z,Tropical Storm,Karen,22.2,-87.9,65,1004,12,330,,
AL122013,2013-10-03T21:00:00.000Z,Tropical Storm,Karen,23.3,-88.5,65,999,12,330,,
AL122013,2013-10-04T03:00:00.000Z,Tropical Storm,Karen,24.2,-89,65,999,10,335,,
AL122013,2013-10-04T09:00:00.000Z,Tropical Storm,Karen,24.9,-89.8,60,1002,10,325,,
AL122013,2013-10-04T15:00:00.000Z,Tropical Storm,Karen,25.6,-90.2,50,1003,10,330,,
AL122013,2013-10-04T21:00:00.000Z,Tropical Storm,Karen,25.9,-90.3,50,1003,7,335,,
AL122013,2013-10-05T03:00:00.000Z,Tropical Storm,Karen,26.4,-90.5,45,1002,7,340,,
AL122013,2013-10-05T09:00:00.000Z,Tropical Storm,Karen,27.1,-91.3,40,1007,8,330,,
AL122013,2013-10-05T15:00:00.000Z,Tropical Storm,Karen,27.9,-91.7,40,1008,7,355,,
AL122013,2013-10-05T21:00:00.000Z,Tropical Storm,Karen,28.1,-91.7,40,1007,2,360,,
AL122013,2013-10-06T03:00:00.000Z,Tropical Depression,Karen,28.1,-91.9,35,1008,NaN,0,,
AL122013,2013-10-06T09:00:00.000Z,Tropical Depression,Karen,28.3,-91.7,30,1009,2,45,,
AL122013,2013-10-06T15:00:00.000Z,Remnants Of,Karen,28.1,-89.9,30,1009,13,90,,
