"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL092018,2018-09-07T21:00:00.000Z,Tropical Depression,Nine,13.6,-34.9,35,1007,NaN,0,,
AL092018,2018-09-08T03:00:00.000Z,Tropical Depression,Nine,13.9,-34.9,35,1007,NaN,0,,
AL092018,2018-09-08T09:00:00.000Z,Tropical Depression,Nine,14.3,-35.4,35,1007,5,300,,
AL092018,2018-09-08T15:00:00.000Z,Tropical Depression,Nine,14.6,-36,35,1007,6,300,,
AL092018,2018-09-08T21:00:00.000Z,Tropical Storm,Isaac,14.5,-36.6,40,1005,7,275,,
AL092018,2018-09-09T03:00:00.000Z,Tropical Storm,Isaac,14.4,-37.5,50,1002,8,270,,
AL092018,2018-09-09T09:00:00.000Z,Tropical Storm,Isaac,14.5,-38.1,50,1001,9,270,,
AL092018,2018-09-09T15:00:00.000Z,Tropical Storm,Isaac,14.3,-39.1,65,999,9,270,,
AL092018,2018-09-09T21:00:00.000Z,Tropical Storm,Isaac,14.5,-40.3,70,997,12,275,,
AL092018,2018-09-10T03:00:00.000Z,Hurricane,Isaac,14.5,-41.6,75,993,14,275,10,45
AL092018,2018-09-10T09:00:00.000Z,Hurricane,Isaac,14.7,-42.7,75,993,13,275,,
AL092018,2018-09-10T15:00:00.000Z,Hurricane,Isaac,14.7,-43.9,75,993,14,275,10,45
AL092018,2018-09-10T21:00:00.000Z,Hurricane,Isaac,14.4,-45,75,993,14,270,,
AL092018,2018-09-11T03:00:00.000Z,Tropical Storm,Isaac,14.5,-46.9,70,997,16,270,,
AL092018,2018-09-11T09:00:00.000Z,Tropical Storm,Isaac,14.6,-48.1,70,997,14,270,,
AL092018,2018-09-11T15:00:00.000Z,Tropical Storm,Isaac,14.6,-49.7,70,996,16,270,,
AL092018,2018-09-11T21:00:00.000Z,Tropical Storm,Isaac,14.6,-51.3,70,996,17,270,,
AL092018,2018-09-12T03:00:00.000Z,Tropical Storm,Isaac,14.5,-52.3,65,999,16,270,,
AL092018,2018-09-12T09:00:00.000Z,Tropical Storm,Isaac,14.5,-53.5,60,1000,15,270,,
AL092018,2018-09-12T15:00:00.000Z,Tropical Storm,Isaac,15,-54.7,60,1000,17,275,,
AL092018,2018-09-12T21:00:00.000Z,Tropical Storm,Isaac,15.4,-56.6,60,1003,20,275,,
AL092018,2018-09-13T03:00:00.000Z,Tropical Storm,Isaac,15.3,-58,50,1006,20,270,,
AL092018,2018-09-13T09:00:00.000Z,Tropical Storm,Isaac,15.4,-59.7,45,1006,17,275,,
AL092018,2018-09-13T15:00:00.000Z,Tropical Storm,Isaac,14.9,-61.8,45,1006,20,265,,
AL092018,2018-09-13T21:00:00.000Z,Tropical Storm,Isaac,14.9,-63.2,40,1006,16,270,,
AL092018,2018-09-14T03:00:00.000Z,Tropical Storm,Isaac,14.9,-64.4,40,1006,16,270,,
AL092018,2018-09-14T09:00:00.000Z,Tropical Depression,Isaac,15,-65.5,35,1006,15,275,,
AL092018,2018-09-14T15:00:00.000Z,Tropical Depression,Isaac,14.9,-67.3,35,1007,16,270,,
AL092018,2018-09-14T21:00:00.000Z,Tropical Storm,Isaac,15.3,-68.2,40,1002,14,275,,
AL092018,2018-09-15T03:00:00.000Z,Tropical Storm,Isaac,15.4,-69.5,40,1002,15,275,,
AL092018,2018-09-15T09:00:00.000Z,Remnants Of,Isaac,14.8,-70.8,35,1006,16,270,,
