"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL162021,2021-09-19T03:00:00.000Z,Tropical Depression,Sixteen,16.4,-53.1,35,1008,14,300,,
AL162021,2021-09-19T09:00:00.000Z,Tropical Storm,Peter,18,-53.5,40,1005,15,305,,
AL162021,2021-09-19T13:00:00.000Z,Tropical Storm,Peter,17.6,-56,45,1008,15,290,,
AL162021,2021-09-19T15:00:00.000Z,Tropical Storm,Peter,17.6,-56.5,45,1007,17,290,,
AL162021,2021-09-19T21:00:00.000Z,Tropical Storm,Peter,18.4,-57.8,45,1007,17,290,,
AL162021,2021-09-20T03:00:00.000Z,Tropical Storm,Peter,18.6,-58.5,50,1004,14,295,,
AL162021,2021-09-20T09:00:00.000Z,Tropical Storm,Peter,19.1,-59.5,50,1005,14,290,,
AL162021,2021-09-20T15:00:00.000Z,Tropical Storm,Peter,19.5,-60.9,50,1007,15,290,,
AL162021,2021-09-20T21:00:00.000Z,Tropical Storm,Peter,20,-61.8,50,1007,14,290,,
AL162021,2021-09-21T03:00:00.000Z,Tropical Storm,Peter,19.8,-62.8,50,1008,12,285,,
AL162021,2021-09-21T09:00:00.000Z,Tropical Storm,Peter,19.6,-63.8,50,1007,12,265,,
AL162021,2021-09-21T15:00:00.000Z,Tropical Storm,Peter,19.9,-64.7,40,1008,9,290,,
