"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL032025,2025-07-04T21:00:00.000Z,Tropical Depression,Three,30.8,-79,35,1012,2,360,,
AL032025,2025-07-05T09:00:00.000Z,Tropical Depression,Three,30.8,-78.6,35,1010,2,30,,
AL032025,2025-07-05T15:00:00.000Z,Tropical Storm,Chantal,31.1,-78.7,40,1007,1,10,,
AL032025,2025-07-05T21:00:00.000Z,Tropical Storm,Chantal,31.9,-78.7,45,1006,7,360,,
AL032025,2025-07-05T03:00:00.000Z,Tropical Depression,Three,30.6,-78.9,35,1012,NaN,0,,
AL032025,2025-07-06T03:00:00.000Z,Tropical Storm,Chantal,32.7,-78.8,50,1004,8,350,,
AL032025,2025-07-06T09:00:00.000Z,Tropical Storm,Chantal,33.6,-79.1,50,1004,8,345,,
AL032025,2025-07-06T15:00:00.000Z,Tropical Depression,Chantal,34.4,-79.2,35,1007,9,360,,
AL032025,2025-07-06T21:00:00.000Z,Tropical Depression,Chantal,34.9,-79,30,1007,10,20,,
AL032025,2025-07-07T03:00:00.000Z,Tropical Depression,Chantal,35.9,-78.7,30,1006,12,40,,
AL032025,2025-07-07T09:00:00.000Z,Tropical Depression,Chantal,36.8,-78.1,30,1009,15,40,,
AL032025,2025-07-07T15:00:00.000Z,Post-tropical Cyclone,Chantal,37.5,-76.3,30,1009,17,50,,
