"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL032020,2020-06-01T21:00:00.000Z,Tropical Depression,Three,19.6,-91.2,30,1007,7,290,,
AL032020,2020-06-02T03:00:00.000Z,Tropical Depression,Three,19.6,-91.9,30,1005,7,270,,
AL032020,2020-06-02T09:00:00.000Z,Tropical Depression,Three,19.6,-92.1,35,1003,2,270,,
AL032020,2020-06-02T15:00:00.000Z,Tropical Depression,Three,19.5,-92.6,35,1005,3,270,,
AL032020,2020-06-02T21:00:00.000Z,Tropical Storm,Cristobal,19.1,-92.5,40,1004,3,170,,
AL032020,2020-06-03T03:00:00.000Z,Tropical Storm,Cristobal,19.1,-92.3,50,996,1,180,,
AL032020,2020-06-03T09:00:00.000Z,Tropical Storm,Cristobal,18.9,-92,60,994,3,140,,
AL032020,2020-06-03T15:00:00.000Z,Tropical Storm,Cristobal,18.6,-92,60,995,3,150,,
AL032020,2020-06-03T21:00:00.000Z,Tropical Storm,Cristobal,18.3,-91.8,50,995,3,135,,
AL032020,2020-06-04T03:00:00.000Z,Tropical Storm,Cristobal,18.3,-91.8,45,995,NaN,0,,
AL032020,2020-06-04T09:00:00.000Z,Tropical Storm,Cristobal,17.9,-91.3,40,998,2,125,,
AL032020,2020-06-04T15:00:00.000Z,Tropical Depression,Cristobal,17.6,-91,35,998,3,120,,
AL032020,2020-06-04T21:00:00.000Z,Tropical Depression,Cristobal,17.5,-90.8,35,999,3,110,,
AL032020,2020-06-05T03:00:00.000Z,Tropical Depression,Cristobal,17.8,-90.4,35,1000,3,90,,
AL032020,2020-06-05T09:00:00.000Z,Tropical Depression,Cristobal,18.8,-90.1,35,1000,7,20,,
AL032020,2020-06-05T15:00:00.000Z,Tropical Depression,Cristobal,20,-89.9,35,1000,12,360,,
AL032020,2020-06-05T21:00:00.000Z,Tropical Storm,Cristobal,21.4,-89.7,40,1000,13,10,,
AL032020,2020-06-06T03:00:00.000Z,Tropical Storm,Cristobal,22.7,-90.1,45,998,14,360,,
AL032020,2020-06-06T09:00:00.000Z,Tropical Storm,Cristobal,23.8,-90.2,45,997,14,350,,
AL032020,2020-06-06T15:00:00.000Z,Tropical Storm,Cristobal,24.2,-90.1,50,994,12,360,,
AL032020,2020-06-06T21:00:00.000Z,Tropical Storm,Cristobal,25.2,-90.2,50,994,12,360,,
AL032020,2020-06-07T03:00:00.000Z,Tropical Storm,Cristobal,26.2,-90.2,50,993,12,360,,
AL032020,2020-06-07T09:00:00.000Z,Tropical Storm,Cristobal,27.3,-90.1,50,993,12,360,,
AL032020,2020-06-07T15:00:00.000Z,Tropical Storm,Cristobal,28.7,-90,50,994,12,355,,
AL032020,2020-06-07T21:00:00.000Z,Tropical Storm,Cristobal,29.1,-89.9,50,993,7,355,,
AL032020,2020-06-08T03:00:00.000Z,Tropical Storm,Cristobal,30.3,-90.2,45,993,10,345,,
AL032020,2020-06-08T09:00:00.000Z,Tropical Depression,Cristobal,31,-91.2,35,994,10,330,,
AL032020,2020-06-08T15:00:00.000Z,Tropical Depression,Cristobal,32.5,-91.8,35,995,15,325,,
AL032020,2020-06-08T21:00:00.000Z,Tropical Depression,Cristobal,34,-92,35,994,18,360,,
AL032020,2020-06-09T03:00:00.000Z,Tropical Depression,Cristobal,34.8,-92.4,30,994,17,335,,
AL032020,2020-06-09T09:00:00.000Z,Tropical Depression,Cristobal,36.8,-92,30,995,25,10,,
AL032020,2020-06-09T15:00:00.000Z,Tropical Depression,Cristobal,38.9,-92.2,30,992,25,30,,
AL032020,2020-06-09T21:00:00.000Z,Tropical Depression,Cristobal,41.2,-91,30,992,28,20,,
AL032020,2020-06-10T03:00:00.000Z,Post-tropical Cyclone,Cristobal,43.5,-90.4,35,986,31,25,,
AL032020,2020-06-10T09:00:00.000Z,Post-tropical Cyclone,Cristobal,45.8,-88.2,40,983,30,30,,
