"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL112016,2016-09-14T03:00:00.000Z,Tropical Storm,Julia,30.3,-81.6,40,1009,9,345,,
AL112016,2016-09-14T09:00:00.000Z,Tropical Storm,Julia,30.9,-81.8,40,1012,7,350,,
AL112016,2016-09-14T15:00:00.000Z,Tropical Storm,Julia,31.4,-81.3,40,1011,6,30,,
AL112016,2016-09-14T21:00:00.000Z,Tropical Storm,Julia,32.1,-80.5,40,1011,6,40,,
AL112016,2016-09-15T03:00:00.000Z,Tropical Storm,Julia,32.1,-79.8,40,1009,5,60,,
AL112016,2016-09-15T09:00:00.000Z,Tropical Depression,Julia,32,-79.6,35,1010,2,90,,
AL112016,2016-09-15T15:00:00.000Z,Tropical Depression,Julia,31.8,-78.2,35,1010,8,95,,
AL112016,2016-09-15T21:00:00.000Z,Tropical Storm,Julia,32.1,-77.1,40,1007,8,85,,
AL112016,2016-09-16T03:00:00.000Z,Tropical Storm,Julia,31.5,-77.1,40,1007,5,120,,
AL112016,2016-09-16T09:00:00.000Z,Tropical Storm,Julia,31.1,-76.4,40,1008,5,135,,
AL112016,2016-09-16T15:00:00.000Z,Tropical Storm,Julia,31.1,-75.6,40,1008,7,105,,
AL112016,2016-09-16T21:00:00.000Z,Tropical Storm,Julia,30.8,-75.7,40,1008,3,190,,
AL112016,2016-09-17T03:00:00.000Z,Tropical Depression,Julia,30.2,-76.3,35,1008,2,260,,
AL112016,2016-09-17T09:00:00.000Z,Tropical Depression,Julia,30.1,-76.4,30,1009,NaN,0,,
AL112016,2016-09-17T15:00:00.000Z,Tropical Depression,Julia,30.2,-76.2,30,1010,NaN,0,,
AL112016,2016-09-17T21:00:00.000Z,Tropical Depression,Julia,30.5,-76.3,30,1010,1,310,,
AL112016,2016-09-18T03:00:00.000Z,Tropical Depression,Julia,30.6,-76.5,30,1010,3,320,,
AL112016,2016-09-18T09:00:00.000Z,Tropical Depression,Julia,31.3,-76.7,30,1010,5,335,,
AL112016,2016-09-18T15:00:00.000Z,Tropical Depression,Julia,31.8,-77.1,30,1010,2,270,,
AL112016,2016-09-18T21:00:00.000Z,Tropical Depression,Julia,32.3,-78,30,1010,7,330,,
AL112016,2016-09-19T03:00:00.000Z,Post-tropical Cyclone,Julia,32.2,-78.4,30,1011,7,310,,
