"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)"
AL062021,2021-08-09T21:00:00.000Z,Potential Tropical Cyclone,Six,14.2,-59.2,35,1010,15,290
AL062021,2021-08-10T00:00:00.000Z,Potential Tropical Cyclone,Six,14.7,-60.1,35,1010,15,290
AL062021,2021-08-10T03:00:00.000Z,Potential Tropical Cyclone,Six,15.1,-60.8,35,1010,16,295
AL062021,2021-08-10T06:00:00.000Z,Potential Tropical Cyclone,Six,15.5,-61.5,35,1010,16,295
AL062021,2021-08-10T09:00:00.000Z,Potential Tropical Cyclone,Six,15.7,-62.2,35,1010,17,295
AL062021,2021-08-10T12:00:00.000Z,Potential Tropical Cyclone,Six,16,-63.1,35,1010,17,295
AL062021,2021-08-10T15:00:00.000Z,Potential Tropical Cyclone,Six,16.3,-63.8,35,1012,18,295
AL062021,2021-08-10T18:00:00.000Z,Potential Tropical Cyclone,Six,16.6,-64.8,35,1012,18,295
AL062021,2021-08-10T21:00:00.000Z,Potential Tropical Cyclone,Six,16.9,-65.5,35,1012,17,295
AL062021,2021-08-11T00:00:00.000Z,Potential Tropical Cyclone,Six,17.6,-66.1,40,1009,17,270
AL062021,2021-08-11T03:00:00.000Z,Tropical Storm,Fred,17.4,-66.8,40,1009,17,270
AL062021,2021-08-11T06:00:00.000Z,Tropical Storm,Fred,17.6,-67.6,40,1009,17,270
AL062021,2021-08-11T09:00:00.000Z,Tropical Storm,Fred,18,-68.2,40,1009,16,290
AL062021,2021-08-11T12:00:00.000Z,Tropical Storm,Fred,18,-69.1,40,1006,16,290
AL062021,2021-08-11T15:00:00.000Z,Tropical Storm,Fred,18.2,-69.7,45,1006,16,290
AL062021,2021-08-11T18:00:00.000Z,Tropical Storm,Fred,18.5,-70.1,45,1006,16,290
AL062021,2021-08-11T21:00:00.000Z,Tropical Storm,Fred,18.9,-71,40,1007,15,290
AL062021,2021-08-12T00:00:00.000Z,Tropical Depression,Fred,19.2,-71.6,35,1009,15,300
AL062021,2021-08-12T03:00:00.000Z,Tropical Depression,Fred,19.5,-72.2,35,1009,15,300
AL062021,2021-08-12T06:00:00.000Z,Tropical Depression,Fred,19.8,-72.8,35,1009,15,300
AL062021,2021-08-12T09:00:00.000Z,Tropical Depression,Fred,20.2,-73.5,35,1010,16,300
AL062021,2021-08-12T12:00:00.000Z,Tropical Depression,Fred,20.7,-74.2,35,1011,16,300
AL062021,2021-08-12T15:00:00.000Z,Tropical Depression,Fred,20.9,-74.4,35,1013,14,300
AL062021,2021-08-12T18:00:00.000Z,Tropical Depression,Fred,21,-74.9,35,1014,14,300
AL062021,2021-08-12T21:00:00.000Z,Tropical Depression,Fred,21.3,-75.3,35,1012,12,295
AL062021,2021-08-13T00:00:00.000Z,Tropical Depression,Fred,21.3,-75,35,1012,7,295
AL062021,2021-08-13T03:00:00.000Z,Tropical Depression,Fred,21.5,-75.6,35,1013,9,295
AL062021,2021-08-13T06:00:00.000Z,Tropical Depression,Fred,21.8,-76.2,35,1013,9,295
AL062021,2021-08-13T09:00:00.000Z,Tropical Depression,Fred,22,-76.7,35,1013,10,300
AL062021,2021-08-13T12:00:00.000Z,Tropical Depression,Fred,22.2,-77.5,35,1013,10,300
AL062021,2021-08-13T15:00:00.000Z,Tropical Depression,Fred,22.3,-78.4,35,1013,12,295
AL062021,2021-08-13T18:00:00.000Z,Tropical Depression,Fred,22.3,-78.9,35,1013,12,285
AL062021,2021-08-13T21:00:00.000Z,Tropical Depression,Fred,22.3,-79.6,35,1013,12,280
AL062021,2021-08-14T00:00:00.000Z,Tropical Depression,Fred,22.5,-80.2,35,1013,12,280
