"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL202023,2023-10-18T21:00:00.000Z,Tropical Storm,Tammy,13,-51.7,40,1007,23,275,,
AL202023,2023-10-19T00:00:00.000Z,Tropical Storm,Tammy,13,-52.5,40,1007,23,270,,
AL202023,2023-10-19T03:00:00.000Z,Tropical Storm,Tammy,13,-53.1,40,1006,17,270,,
AL202023,2023-10-19T06:00:00.000Z,Tropical Storm,Tammy,13.4,-54.2,40,1006,17,270,,
AL202023,2023-10-19T09:00:00.000Z,Tropical Storm,Tammy,13.5,-54.8,40,1006,17,280,,
AL202023,2023-10-19T12:00:00.000Z,Tropical Storm,Tammy,13.5,-55.1,60,1004,16,280,,
AL202023,2023-10-19T15:00:00.000Z,Tropical Storm,Tammy,13.6,-55.7,60,1003,15,285,,
AL202023,2023-10-19T18:00:00.000Z,Tropical Storm,Tammy,13.5,-56.4,60,1002,14,280,,
AL202023,2023-10-19T21:00:00.000Z,Tropical Storm,Tammy,13.7,-56.6,60,1001,13,285,,
AL202023,2023-10-20T00:00:00.000Z,Tropical Storm,Tammy,13.7,-56.8,60,1001,10,285,,
AL202023,2023-10-20T03:00:00.000Z,Tropical Storm,Tammy,13.8,-57.1,60,1001,10,290,,
AL202023,2023-10-20T06:00:00.000Z,Tropical Storm,Tammy,13.8,-58,60,1002,10,285,,
AL202023,2023-10-20T09:00:00.000Z,Tropical Storm,Tammy,14,-58.3,60,1000,8,290,,
AL202023,2023-10-20T12:00:00.000Z,Tropical Storm,Tammy,14,-58.4,65,1000,7,290,,
AL202023,2023-10-20T14:00:00.000Z,Hurricane,Tammy,14.1,-58.5,75,992,7,290,,
AL202023,2023-10-20T15:00:00.000Z,Hurricane,Tammy,14.1,-58.6,75,992,7,290,25,140
AL202023,2023-10-20T18:00:00.000Z,Hurricane,Tammy,14.1,-58.9,75,991,7,285,25,140
AL202023,2023-10-20T21:00:00.000Z,Hurricane,Tammy,14.3,-59.2,75,991,7,290,25,125
AL202023,2023-10-21T00:00:00.000Z,Hurricane,Tammy,14.5,-59.7,75,990,7,290,25,125
AL202023,2023-10-21T03:00:00.000Z,Hurricane,Tammy,14.7,-60.2,80,992,9,295,25,125
AL202023,2023-10-21T06:00:00.000Z,Hurricane,Tammy,14.9,-60.3,80,991,9,300,25,125
AL202023,2023-10-21T09:00:00.000Z,Hurricane,Tammy,15.2,-60.4,80,991,9,305,25,125
