"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL092024,2024-09-23T15:00:00.000Z,Potential Tropical Cyclone,Nine,17.6,-82,30,1004,6,350,,
AL092024,2024-09-23T18:00:00.000Z,Potential Tropical Cyclone,Nine,17.9,-81.9,30,1004,6,350,,
AL092024,2024-09-23T21:00:00.000Z,Potential Tropical Cyclone,Nine,18.1,-82.2,35,1003,7,345,,
AL092024,2024-09-24T00:00:00.000Z,Potential Tropical Cyclone,Nine,18.3,-82.3,35,1002,7,345,,
AL092024,2024-09-24T03:00:00.000Z,Potential Tropical Cyclone,Nine,18.4,-82.4,35,1002,6,330,,
AL092024,2024-09-24T06:00:00.000Z,Potential Tropical Cyclone,Nine,18.6,-82.8,35,1002,6,325,,
AL092024,2024-09-24T09:00:00.000Z,Potential Tropical Cyclone,Nine,18.9,-83,35,1001,8,315,,
AL092024,2024-09-24T12:00:00.000Z,Potential Tropical Cyclone,Nine,19.2,-83.5,35,1001,9,305,,
AL092024,2024-09-24T15:00:00.000Z,Tropical Storm,Helene,19.5,-84.3,45,1000,12,310,,
AL092024,2024-09-24T18:00:00.000Z,Tropical Storm,Helene,19.4,-84.5,45,999,12,295,,
AL092024,2024-09-24T21:00:00.000Z,Tropical Storm,Helene,19.7,-84.7,50,995,12,300,,
AL092024,2024-09-25T03:00:00.000Z,Tropical Storm,Helene,19.9,-85.5,60,991,10,300,,
AL092024,2024-09-25T06:00:00.000Z,Tropical Storm,Helene,20.4,-85.9,60,991,10,305,,
AL092024,2024-09-25T09:00:00.000Z,Tropical Storm,Helene,20.7,-86.2,65,985,9,325,,
AL092024,2024-09-25T12:00:00.000Z,Tropical Storm,Helene,21.1,-86.2,70,979,9,325,,
AL092024,2024-09-25T15:00:00.000Z,Hurricane,Helene,21.6,-86.3,80,979,10,330,25,275
