"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL052022,2022-09-01T09:00:00.000Z,Tropical Depression,Five,38.1,-45,35,1013,2,70,,
AL052022,2022-09-01T15:00:00.000Z,Tropical Storm,Danielle,38.1,-44.7,40,1012,2,80,,
AL052022,2022-09-01T19:00:00.000Z,Tropical Storm,Danielle,38.1,-44.6,60,1005,2,90,,
AL052022,2022-09-01T21:00:00.000Z,Tropical Storm,Danielle,38.1,-44.5,60,1005,2,90,,
AL052022,2022-09-02T03:00:00.000Z,Tropical Storm,Danielle,38,-44,65,999,2,90,,
AL052022,2022-09-02T09:00:00.000Z,Tropical Storm,Danielle,37.9,-43.4,70,995,3,100,,
AL052022,2022-09-02T15:00:00.000Z,Hurricane,Danielle,37.9,-43.3,75,992,1,260,15,115
