"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL162022,2022-11-01T15:00:00.000Z,Tropical Storm,Martin,35.3,-55.9,50,997,12,90,,
AL162022,2022-11-01T21:00:00.000Z,Tropical Storm,Martin,35.4,-54.5,60,991,13,90,,
AL162022,2022-11-02T03:00:00.000Z,Tropical Storm,Martin,35.1,-53.4,60,991,10,100,,
AL162022,2022-11-02T09:00:00.000Z,Tropical Storm,Martin,35.3,-52.1,65,989,15,75,,
AL162022,2022-11-02T15:00:00.000Z,Hurricane,Martin,35.5,-50,75,983,26,60,35,140
AL162022,2022-11-02T21:00:00.000Z,Hurricane,Martin,37.1,-47.6,85,974,31,45,45,150
AL162022,2022-11-03T03:00:00.000Z,Hurricane,Martin,39.4,-44.9,85,973,39,40,45,175
AL162022,2022-11-03T09:00:00.000Z,Hurricane,Martin,41.9,-41.4,85,968,46,30,50,275
