"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL142021,2021-09-12T15:00:00.000Z,Tropical Storm,Nicholas,20.5,-94.8,40,1008,13,330,,
AL142021,2021-09-12T18:00:00.000Z,Tropical Storm,Nicholas,21.7,-95.5,40,1008,15,330,,
AL142021,2021-09-12T21:00:00.000Z,Tropical Storm,Nicholas,22.8,-95.5,40,1008,14,340,,
AL142021,2021-09-13T00:00:00.000Z,Tropical Storm,Nicholas,22.5,-95.5,40,1008,2,360,,
AL142021,2021-09-13T03:00:00.000Z,Tropical Storm,Nicholas,22.5,-95.5,40,1007,2,360,,
AL142021,2021-09-13T04:30:00.000Z,Tropical Storm,Nicholas,24.8,-96.3,50,1008,12,340,,
AL142021,2021-09-13T06:00:00.000Z,Tropical Storm,Nicholas,25.1,-96.5,60,1001,15,340,,
AL142021,2021-09-13T09:00:00.000Z,Tropical Storm,Nicholas,25.5,-96.6,60,1001,14,345,,
AL142021,2021-09-13T12:00:00.000Z,Tropical Storm,Nicholas,25.4,-96.9,60,1001,5,345,,
AL142021,2021-09-13T15:00:00.000Z,Tropical Storm,Nicholas,26.4,-96.8,60,1002,12,5,,
AL142021,2021-09-13T18:00:00.000Z,Tropical Storm,Nicholas,26.9,-96.5,60,1002,12,10,,
AL142021,2021-09-13T21:00:00.000Z,Tropical Storm,Nicholas,27.4,-96.4,65,1000,12,15,,
AL142021,2021-09-14T00:00:00.000Z,Tropical Storm,Nicholas,28.1,-96.2,70,988,12,15,,
AL142021,2021-09-14T03:00:00.000Z,Hurricane,Nicholas,28.4,-95.8,75,988,10,25,25,115
AL142021,2021-09-14T06:00:00.000Z,Hurricane,Nicholas,28.8,-95.7,75,991,10,25,25,115
