"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL152010,2010-09-23T18:00:00.000Z,Tropical Depression,Fifteen,13.9,-76.2,35,1007,15,280,,
AL152010,2010-09-23T21:00:00.000Z,Tropical Storm,Matthew,14,-76.9,40,1006,16,280,,
AL152010,2010-09-24T03:00:00.000Z,Tropical Storm,Matthew,14,-78.4,45,1005,17,275,,
AL152010,2010-09-24T09:00:00.000Z,Tropical Storm,Matthew,14.3,-79.8,50,1000,16,280,,
AL152010,2010-09-24T15:00:00.000Z,Tropical Storm,Matthew,14.4,-82.2,50,1001,20,275,,
AL152010,2010-09-24T21:00:00.000Z,Tropical Storm,Matthew,14.7,-83.7,45,998,15,280,,
AL152010,2010-09-25T03:00:00.000Z,Tropical Storm,Matthew,15.2,-85,50,998,15,285,,
AL152010,2010-09-25T09:00:00.000Z,Tropical Storm,Matthew,15.7,-86.3,50,998,16,285,,
AL152010,2010-09-25T15:00:00.000Z,Tropical Storm,Matthew,16.2,-87.8,40,1000,15,285,,
AL152010,2010-09-25T21:00:00.000Z,Tropical Depression,Matthew,17.4,-89.4,35,1003,14,310,,
AL152010,2010-09-26T03:00:00.000Z,Tropical Depression,Matthew,17,-91,35,1001,14,285,,
AL152010,2010-09-26T09:00:00.000Z,Tropical Depression,Matthew,17.3,-91.8,30,1003,10,285,,
AL152010,2010-09-26T15:00:00.000Z,Tropical Depression,Matthew,17.4,-92.9,25,1003,9,270,,
