"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL122021,2021-08-31T21:00:00.000Z,Tropical Depression,Twelve,11.2,-21.1,35,1006,16,285,,
AL122021,2021-09-01T03:00:00.000Z,Tropical Depression,Twelve,12.1,-23.2,35,1006,20,290,,
AL122021,2021-09-01T09:00:00.000Z,Tropical Storm,Larry,12.3,-24.8,45,1003,20,280,,
AL122021,2021-09-01T15:00:00.000Z,Tropical Storm,Larry,12.3,-27.6,50,1001,22,270,,
AL122021,2021-09-01T18:30:00.000Z,Tropical Storm,Larry,12.4,-28.5,65,994,22,270,,
AL122021,2021-09-01T21:00:00.000Z,Tropical Storm,Larry,12.5,-29.4,70,991,22,275,,
AL122021,2021-09-02T03:00:00.000Z,Tropical Storm,Larry,12.8,-30.9,70,991,21,275,,
AL122021,2021-09-02T09:00:00.000Z,Hurricane,Larry,13,-32.3,75,987,20,280,15,80
AL122021,2021-09-02T15:00:00.000Z,Hurricane,Larry,13.5,-34.2,80,985,17,280,,
AL122021,2021-09-02T21:00:00.000Z,Hurricane,Larry,13.7,-35.8,80,985,18,280,25,160
