"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL022026,2026-07-19T15:00:00.000Z,Tropical Depression,Two,28,-85.3,30,1011,2,340,,
AL022026,2026-07-19T21:00:00.000Z,Tropical Depression,Two,27.5,-85,30,1010,NaN,0,,
AL022026,2026-07-20T03:00:00.000Z,Tropical Depression,Two,28,-85.1,30,1008,3,335,,
AL022026,2026-07-20T09:00:00.000Z,Tropical Depression,Two,28.5,-85.4,35,1006,3,320,,
AL022026,2026-07-20T15:00:00.000Z,Tropical Depression,Two,28.5,-85.6,35,1007,3,310,,
