"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL052009,2009-08-26T15:00:00.000Z,Tropical Storm,Danny,24.9,-70.3,45,1009,18,295,,
AL052009,2009-08-26T21:00:00.000Z,Tropical Storm,Danny,25.2,-71.2,45,1009,12,300,,
AL052009,2009-08-27T03:00:00.000Z,Tropical Storm,Danny,26,-71.6,50,1006,10,310,,
AL052009,2009-08-27T09:00:00.000Z,Tropical Storm,Danny,27.4,-72.1,60,1006,10,315,,
AL052009,2009-08-27T15:00:00.000Z,Tropical Storm,Danny,27.5,-73.1,60,1006,13,310,,
AL052009,2009-08-27T21:00:00.000Z,Tropical Storm,Danny,27.5,-73.5,50,1008,2,270,,
AL052009,2009-08-28T03:00:00.000Z,Tropical Storm,Danny,28.4,-73.5,45,1008,8,330,,
AL052009,2009-08-28T09:00:00.000Z,Tropical Storm,Danny,29.5,-74.4,40,1008,9,330,,
AL052009,2009-08-28T15:00:00.000Z,Tropical Storm,Danny,30.1,-75.5,40,1008,10,325,,
AL052009,2009-08-28T21:00:00.000Z,Tropical Storm,Danny,30.4,-75.4,40,1007,6,360,,
AL052009,2009-08-29T03:00:00.000Z,Tropical Storm,Danny,31.4,-74.9,40,1006,12,20,,
AL052009,2009-08-29T09:00:00.000Z,Tropical Depression,Danny,34.3,-74.6,35,1007,30,20,,
