"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL012011,2011-06-29T00:00:00.000Z,Tropical Storm,Arlene,21.2,-93.7,40,1003,7,290,,
AL012011,2011-06-29T03:00:00.000Z,Tropical Storm,Arlene,21.4,-94.1,40,1003,7,295,,
AL012011,2011-06-29T09:00:00.000Z,Tropical Storm,Arlene,21.8,-95,40,1003,8,300,,
AL012011,2011-06-29T15:00:00.000Z,Tropical Storm,Arlene,21.2,-95.7,50,1000,8,270,,
AL012011,2011-06-29T21:00:00.000Z,Tropical Storm,Arlene,21.1,-96.1,50,1000,7,270,,
AL012011,2011-06-30T03:00:00.000Z,Tropical Storm,Arlene,21.5,-96.1,60,996,6,280,,
AL012011,2011-06-30T09:00:00.000Z,Tropical Storm,Arlene,21.5,-97.3,65,996,9,270,,
AL012011,2011-06-30T15:00:00.000Z,Tropical Storm,Arlene,21.6,-97.7,65,994,7,270,,
AL012011,2011-06-30T21:00:00.000Z,Tropical Storm,Arlene,21.3,-98.3,40,1000,7,255,,
AL012011,2011-07-01T03:00:00.000Z,Remnants Of,Arlene,20.9,-99.1,30,1004,8,250,,
