"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL052023,2023-07-14T09:00:00.000Z,Tropical Storm,Don,32.9,-46.8,50,1002,6,360,,
AL052023,2023-07-14T15:00:00.000Z,Tropical Storm,Don,33.7,-47.3,45,1004,7,340,,
AL052023,2023-07-14T21:00:00.000Z,Tropical Storm,Don,34.1,-48,45,1004,8,325,,
AL052023,2023-07-15T03:00:00.000Z,Tropical Storm,Don,34.7,-47.2,45,1004,9,350,,
AL052023,2023-07-15T09:00:00.000Z,Tropical Storm,Don,35.7,-47.8,45,1004,9,350,,
AL052023,2023-07-15T15:00:00.000Z,Tropical Storm,Don,36.5,-48.8,45,1006,9,325,,
AL052023,2023-07-15T21:00:00.000Z,Tropical Storm,Don,37.3,-48.6,40,1007,9,350,,
AL052023,2023-07-16T03:00:00.000Z,Tropical Storm,Don,38.2,-48.7,40,1007,10,350,,
AL052023,2023-07-16T09:00:00.000Z,Tropical Storm,Don,38.6,-48.4,40,1007,7,10,,
AL052023,2023-07-16T15:00:00.000Z,Tropical Depression,Don,39,-48.1,35,1009,8,70,,
AL052023,2023-07-16T21:00:00.000Z,Tropical Depression,Don,39.3,-47,35,1010,9,90,,
AL052023,2023-07-17T03:00:00.000Z,Tropical Depression,Don,39.4,-45.8,35,1011,10,90,,
AL052023,2023-07-17T09:00:00.000Z,Tropical Depression,Don,39.2,-44.7,35,1011,9,95,,
AL052023,2023-07-17T15:00:00.000Z,Tropical Depression,Don,38.6,-42.9,35,1011,14,120,,
AL052023,2023-07-17T21:00:00.000Z,Tropical Depression,Don,38.1,-41.6,35,1010,14,125,,
AL052023,2023-07-18T03:00:00.000Z,Tropical Storm,Don,37.4,-40.4,40,1007,13,140,,
AL052023,2023-07-18T09:00:00.000Z,Tropical Storm,Don,36.3,-39.6,40,1006,12,145,,
AL052023,2023-07-18T15:00:00.000Z,Tropical Storm,Don,35.6,-39.3,40,1006,9,165,,
AL052023,2023-07-18T21:00:00.000Z,Tropical Storm,Don,34.9,-39.2,40,1006,7,180,,
AL052023,2023-07-19T03:00:00.000Z,Tropical Storm,Don,34.3,-39,40,1006,3,190,,
AL052023,2023-07-19T09:00:00.000Z,Tropical Storm,Don,34,-39.3,40,1006,5,185,,
AL052023,2023-07-19T15:00:00.000Z,Tropical Storm,Don,33.9,-39.6,40,1006,5,255,,
AL052023,2023-07-19T21:00:00.000Z,Tropical Storm,Don,33.8,-40.3,45,1004,8,270,,
AL052023,2023-07-20T03:00:00.000Z,Tropical Storm,Don,33.9,-40.9,50,1002,6,270,,
AL052023,2023-07-20T09:00:00.000Z,Tropical Storm,Don,34.1,-41.6,50,1002,7,285,,
