"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL132012,2012-09-03T21:00:00.000Z,Tropical Depression,Thirteen,25.6,-42.2,35,1012,3,305,,
AL132012,2012-09-04T03:00:00.000Z,Tropical Depression,Thirteen,25.9,-42.8,35,1012,5,305,,
AL132012,2012-09-04T09:00:00.000Z,Tropical Depression,Thirteen,26.5,-43.3,35,1012,6,310,,
AL132012,2012-09-04T15:00:00.000Z,Tropical Storm,Michael,27,-43.5,40,1006,5,340,,
AL132012,2012-09-04T21:00:00.000Z,Tropical Storm,Michael,27.5,-43.7,50,1006,7,340,,
AL132012,2012-09-05T03:00:00.000Z,Tropical Storm,Michael,27.4,-43.7,50,1005,NaN,0,,
AL132012,2012-09-05T09:00:00.000Z,Tropical Storm,Michael,28.1,-43.9,50,1005,5,360,,
AL132012,2012-09-05T15:00:00.000Z,Tropical Storm,Michael,28.3,-43.3,50,1005,6,35,,
AL132012,2012-09-05T17:30:00.000Z,Tropical Storm,Michael,28.5,-42.9,65,998,7,35,,
AL132012,2012-09-05T21:00:00.000Z,Tropical Storm,Michael,28.8,-42.7,70,994,7,50,,
AL132012,2012-09-06T03:00:00.000Z,Hurricane,Michael,29.3,-42.2,75,990,7,50,10,70
AL132012,2012-09-06T05:00:00.000Z,Hurricane,Michael,29.4,-42,105,974,7,50,15,70
AL132012,2012-09-06T09:00:00.000Z,Hurricane,Michael,29.6,-41.7,115,965,7,45,15,70
AL132012,2012-09-06T15:00:00.000Z,Hurricane,Michael,30.1,-41.3,115,964,7,40,15,70
AL132012,2012-09-06T21:00:00.000Z,Hurricane,Michael,30.6,-41,110,967,6,20,15,70
AL132012,2012-09-07T03:00:00.000Z,Hurricane,Michael,30.8,-40.8,105,970,5,25,25,80
AL132012,2012-09-07T09:00:00.000Z,Hurricane,Michael,31,-40.8,105,970,3,360,25,80
AL132012,2012-09-07T15:00:00.000Z,Hurricane,Michael,31.2,-41.1,105,970,3,320,25,70
AL132012,2012-09-07T21:00:00.000Z,Hurricane,Michael,31.4,-41.3,105,970,3,320,25,70
AL132012,2012-09-08T03:00:00.000Z,Hurricane,Michael,31.8,-41.8,100,974,6,320,25,70
AL132012,2012-09-08T09:00:00.000Z,Hurricane,Michael,32.2,-41.8,100,974,5,330,25,70
AL132012,2012-09-08T15:00:00.000Z,Hurricane,Michael,32.6,-42.1,105,971,5,325,25,70
AL132012,2012-09-08T21:00:00.000Z,Hurricane,Michael,33.1,-42.3,105,971,6,335,25,70
AL132012,2012-09-09T03:00:00.000Z,Hurricane,Michael,33.4,-42.4,100,975,6,335,25,70
AL132012,2012-09-09T09:00:00.000Z,Hurricane,Michael,33.8,-42.7,100,975,5,315,25,70
AL132012,2012-09-09T15:00:00.000Z,Hurricane,Michael,33.7,-43.2,90,978,5,275,25,70
AL132012,2012-09-09T21:00:00.000Z,Hurricane,Michael,33.6,-43.8,90,978,5,270,25,70
AL132012,2012-09-10T03:00:00.000Z,Hurricane,Michael,33.6,-44.4,85,983,6,265,25,80
AL132012,2012-09-10T09:00:00.000Z,Hurricane,Michael,33.5,-45.2,80,987,7,265,15,70
AL132012,2012-09-10T15:00:00.000Z,Hurricane,Michael,33.6,-46.3,80,987,8,275,15,70
AL132012,2012-09-10T21:00:00.000Z,Hurricane,Michael,34.4,-47.6,75,989,12,305,25,80
AL132012,2012-09-11T03:00:00.000Z,Hurricane,Michael,35.3,-48,75,989,13,345,25,80
AL132012,2012-09-11T09:00:00.000Z,Tropical Storm,Michael,37.1,-47.7,65,994,18,360,,
AL132012,2012-09-11T15:00:00.000Z,Tropical Storm,Michael,39.2,-47.2,45,1000,23,20,,
AL132012,2012-09-11T21:00:00.000Z,Post-tropical Cyclone,Michael,41.4,-45.8,40,1000,31,25,,
