"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL172024,2024-11-02T09:00:00.000Z,Tropical Storm,Patty,39.9,-34.4,50,986,7,105,,
AL172024,2024-11-02T15:00:00.000Z,Tropical Storm,Patty,39,-32.4,65,982,13,130,,
AL172024,2024-11-02T18:00:00.000Z,Tropical Storm,Patty,38.2,-31.1,65,982,13,125,,
AL172024,2024-11-02T21:00:00.000Z,Tropical Storm,Patty,38,-30.1,65,982,18,125,,
AL172024,2024-11-03T00:00:00.000Z,Tropical Storm,Patty,38,-28.9,65,984,18,115,,
AL172024,2024-11-03T03:00:00.000Z,Tropical Storm,Patty,37.9,-27.8,60,985,20,95,,
AL172024,2024-11-03T06:00:00.000Z,Tropical Storm,Patty,37.9,-26.8,60,988,20,95,,
AL172024,2024-11-03T09:00:00.000Z,Tropical Storm,Patty,37.9,-26,50,989,18,90,,
AL172024,2024-11-03T12:00:00.000Z,Tropical Storm,Patty,37.5,-25.5,50,990,18,90,,
