"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL192012,2012-10-22T21:00:00.000Z,Tropical Depression,Nineteen,22.3,-51.7,35,1006,7,350,,
AL192012,2012-10-23T03:00:00.000Z,Tropical Depression,Nineteen,23,-51.8,35,1006,9,355,,
AL192012,2012-10-23T09:00:00.000Z,Tropical Depression,Nineteen,24.1,-51.5,35,1006,12,15,,
AL192012,2012-10-23T15:00:00.000Z,Tropical Depression,Nineteen,25.7,-51,35,1006,15,15,,
AL192012,2012-10-23T21:00:00.000Z,Tropical Depression,Nineteen,26.3,-50,35,1005,14,30,,
AL192012,2012-10-24T03:00:00.000Z,Tropical Storm,Tony,26.7,-49.2,40,1004,12,50,,
AL192012,2012-10-24T09:00:00.000Z,Tropical Storm,Tony,27.4,-47.9,45,1003,16,60,,
AL192012,2012-10-24T15:00:00.000Z,Tropical Storm,Tony,28.5,-45.4,50,1000,21,60,,
AL192012,2012-10-24T21:00:00.000Z,Tropical Storm,Tony,29.6,-42.5,50,1000,25,65,,
AL192012,2012-10-25T03:00:00.000Z,Tropical Storm,Tony,30.1,-40.3,50,1000,23,70,,
AL192012,2012-10-25T09:00:00.000Z,Tropical Storm,Tony,30.4,-38.4,45,1002,23,70,,
AL192012,2012-10-25T15:00:00.000Z,Tropical Storm,Tony,31,-36.3,40,1000,21,70,,
AL192012,2012-10-25T21:00:00.000Z,Post-tropical Cyclone,Tony,31.2,-34,40,1001,22,75,,
