"id","timestamp","classification","name","latitude","longitude","maximum sustained wind (mph)","minimum central pressure (mb)","movement speed (mph)","movement direction (degrees)","hurricane wind extent (miles)","tropical storm wind extent (miles)"
AL092025,2025-09-26T21:00:00.000Z,Potential Tropical Cyclone,Nine,20.9,-74.6,35,1008,9,305,,
AL092025,2025-09-27T03:00:00.000Z,Potential Tropical Cyclone,Nine,21.5,-76,35,1007,9,305,,
AL092025,2025-09-27T09:00:00.000Z,Potential Tropical Cyclone,Nine,21.9,-75.8,35,1007,7,315,,
AL092025,2025-09-27T15:00:00.000Z,Tropical Depression,Nine,22,-76.2,35,1005,6,320,,
AL092025,2025-09-27T21:00:00.000Z,Tropical Depression,Nine,22.2,-76.5,35,1005,5,315,,
