id,timestamp,classification,name,latitude,longitude,maximum sustained wind (mph),minimum central pressure (mb),movement speed (mph), movement direction (degrees)
AL082021,2021-08-16T03:00:00.000Z,Tropical Depression,Eight,33.2,-62.7,30,1014,7,175
AL082021,2021-08-16T06:00:00.000Z,Tropical Depression,Eight,32.6,-62.8,35,1012,8,185
AL082021,2021-08-16T09:00:00.000Z,Tropical Depression,Eight,32.4,-62.9,35,1012,5,195
AL082021,2021-08-16T12:00:00.000Z,Tropical Depression,Eight,31.7,-62.8,35,1012,9,185
AL082021,2021-08-16T15:00:00.000Z,Tropical Depression,Eight,31.3,-62.8,35,1012,9,185
AL082021,2021-08-16T18:00:00.000Z,Tropical Depression,Eight,31.1,-62.8,35,1012,9,185
AL082021,2021-08-16T21:00:00.000Z,Tropical Storm,Henri,31.0,-62.9,40,1010,7,200
AL082021,2021-08-17T00:00:00.000Z,Tropical Storm,Henri,30.9,-63.0,40,1010,5,205
AL082021,2021-08-17T03:00:00.000Z,Tropical Storm,Henri,30.7,-63.3,45,1008,5,215
AL082021,2021-08-17T06:00:00.000Z,Tropical Storm,Henri,30.6,-63.5,45,1008,5,215
AL082021,2021-08-17T09:00:00.000Z,Tropical Storm,Henri,30.6,-63.7,50,1004,5,240
AL082021,2021-08-17T12:00:00.000Z,Tropical Storm,Henri,30.5,-64.0,50,1004,5,240
AL082021,2021-08-17T15:00:00.000Z,Tropical Storm,Henri,30.4,-64.3,50,1004,6,255
AL082021,2021-08-17T18:00:00.000Z,Tropical Storm,Henri,30.4,-64.3,60,1000,6,255
AL082021,2021-08-17T21:00:00.000Z,Tropical Storm,Henri,30.4,-64.2,65,997,2,255
AL082021,2021-08-18T00:00:00.000Z,Tropical Storm,Henri,30.2,-64.5,65,997,5,255
AL082021,2021-08-18T03:00:00.000Z,Tropical Storm,Henri,30.0,-65.1,65,998,8,255
AL082021,2021-08-18T06:00:00.000Z,Tropical Storm,Henri,30.0,-65.1,65,998,6,255
AL082021,2021-08-18T09:00:00.000Z,Tropical Storm,Henri,30.1,-65.7,65,998,8,260
AL082021,2021-08-18T15:00:00.000Z,Tropical Storm,Henri,30.0,-66.6,65,998,8,260
AL082021,2021-08-18T21:00:00.000Z,Tropical Storm,Henri,29.9,-67.6,70,995,9,265
AL082021,2021-08-19T03:00:00.000Z,Tropical Storm,Henri,29.8,-68.5,70,995,9,265
AL082021,2021-08-19T09:00:00.000Z,Tropical Storm,Henri,29.5,-69.5,70,995,9,260
AL082021,2021-08-19T15:00:00.000Z,Tropical Storm,Henri,29.5,-70.5,70,995,10,265
AL082021,2021-08-19T21:00:00.000Z,Tropical Storm,Henri,29.7,-71.4,65,997,10,270
AL082021,2021-08-20T03:00:00.000Z,Tropical Storm,Henri,29.8,-72.3,65,997,8,285
AL082021,2021-08-20T09:00:00.000Z,Tropical Storm,Henri,30.2,-73.1,65,995,9,300
AL082021,2021-08-20T12:00:00.000Z,Tropical Storm,Henri,30.0,-73.7,65,995,9,300
AL082021,2021-08-20T15:00:00.000Z,Tropical Storm,Henri,30.4,-73.7,65,996,7,305
AL082021,2021-08-20T18:00:00.000Z,Tropical Storm,Henri,30.8,-73.8,70,994,6,335
AL082021,2021-08-20T21:00:00.000Z,Tropical Storm,Henri,31.2,-73.9,70,994,7,340
AL082021,2021-08-21T00:00:00.000Z,Tropical Storm,Henri,31.6,-73.8,70,994,7,360
AL082021,2021-08-21T03:00:00.000Z,Tropical Storm,Henri,32.3,-73.5,70,994,9,10
AL082021,2021-08-21T06:00:00.000Z,Tropical Storm,Henri,32.4,-73.4,70,996,9,10
AL082021,2021-08-21T09:00:00.000Z,Tropical Storm,Henri,33.1,-73.2,70,996,12,15
AL082021,2021-08-21T12:00:00.000Z,Tropical Storm,Henri,33.6,-72.7,70,993,12,15
AL082021,2021-08-21T15:00:00.000Z,Hurricane,Henri,34.4,-72.5,75,991,14,20
AL082021,2021-08-21T18:00:00.000Z,Hurricane,Henri,35.4,-71.8,75,991,17,20
AL082021,2021-08-21T21:00:00.000Z,Hurricane,Henri,36.3,-71.4,75,991,18,20
AL082021,2021-08-22T00:00:00.000Z,Hurricane,Henri,37.4,-71.0,75,988,18,20
AL082021,2021-08-22T03:00:00.000Z,Hurricane,Henri,38.6,-71.0,75,987,21,355
AL082021,2021-08-22T06:00:00.000Z,Hurricane,Henri,39.3,-71.0,75,987,21,355
AL082021,2021-08-22T09:00:00.000Z,Hurricane,Henri,40.1,-71.2,75,986,18,350
AL082021,2021-08-22T12:00:00.000Z,Tropical Storm,Henri,40.7,-71.3,70,986,16,345
AL082021,2021-08-22T15:00:00.000Z,Tropical Storm,Henri,41.1,-71.6,60,987,12,335
AL082021,2021-08-22T18:00:00.000Z,Tropical Storm,Henri,41.4,-71.8,50,991,9,325
AL082021,2021-08-22T21:00:00.000Z,Tropical Storm,Henri,41.6,-72.4,40,997,7,290
