id,timestamp,classification,name,latitude,longitude,maximum sustained wind (mph),minimum central pressure (mb),movement speed (mph), movement direction (degrees)
AL052021,2021-07-08T06:00:00.000Z,Tropical Storm,Elsa,32.7,-82.0,45,1007,16,25
AL052021,2021-07-08T09:00:00.000Z,Tropical Storm,Elsa,33.4,-81.3,40,1007,18,35
AL052021,2021-07-08T12:00:00.000Z,Tropical Storm,Elsa,34.2,-80.5,40,1006,18,35
AL052021,2021-07-08T15:00:00.000Z,Tropical Storm,Elsa,35.0,-79.7,45,1006,20,40
AL052021,2021-07-08T18:00:00.000Z,Tropical Storm,Elsa,35.6,-79.0,45,1007,20,40
AL052021,2021-07-08T21:00:00.000Z,Tropical Storm,Elsa,36.3,-78.3,50,1006,21,40
AL052021,2021-07-09T00:00:00.000Z,Tropical Storm,Elsa,36.8,-77.4,50,1004,21,40
AL052021,2021-07-09T03:00:00.000Z,Tropical Storm,Elsa,37.6,-76.5,50,1002,25,45
AL052021,2021-07-09T06:00:00.000Z,Tropical Storm,Elsa,38.3,-75.7,50,1002,25,45
AL052021,2021-07-09T09:00:00.000Z,Tropical Storm,Elsa,39.4,-74.3,50,1000,31,45
AL052021,2021-07-09T12:00:00.000Z,Tropical Storm,Elsa,40.2,-73.1,50,1000,31,45
AL052021,2021-07-09T15:00:00.000Z,Tropical Storm,Elsa,41.0,-72.1,50,1000,31,45
AL052021,2021-07-09T18:00:00.000Z,Post-Tropical Cyclone,Elsa,42.0,-71.0,50,999,31,45
AL052021,2021-07-09T21:00:00.000Z,Post-Tropical Cyclone,Elsa,43.0,-69.5,50,999,35,45
